Title,Font Size (medium or large),Date,Title Image,Page Name,PageBodyTextFile,PageBodyFontSize,Main Image (Seprate w/ |) Specify Videos with $
Low Poly,large,2019-01-24,lowpolytitle.jpeg,lowpoly,LowPoly,1.4,LowPolyTree_Full.jpg|LowPolyBarrel_Full.jpg|LowPolyLamp_Full.jpg
Random Render 01,large,2019-02-18,randomrender01.jpeg,randomrender01,RandomRender01,1.85,RandomRender01_Full.jpg
Flame Sword Simulation,medium,2019-02-21,flamesword.jpeg,flamesword,FlameSword,1.6,$https://www.youtube.com/embed/htfmbJzsKEU|FlameSwordStill_Full.jpg
80s Wallpaper,large,2019-02-28,80swallpaper.jpeg,80swallpaper,80swallpaper,1.65,80swallpaper_full.jpg
Ink Drop Simulation,large,2019-03-08,inkdrop.png,inkdrop,Inkdrop,1.3,$https://www.youtube.com/embed/7F7zW_SB8U4|Inkdrop_full.jpg
Mountain Render,large,2019-03-14,MountainRender.png,mountainrender,mountainrender,1.55,MountainRender_Full.jpg
Project Windows Storyboard,medium,2019-03-26,pwstoryboard.png,pwstoryboard,pwstoryboard,1.55,$https://www.youtube.com/embed/W8Bz11qT27s|PWStoryboard_full.jpg
Subject Separation Tests,medium,2019-04-09,SubjectSeparation.png,subjectseparation,SubjectSeparation,1.3,$https://www.youtube.com/embed/GoOx5Gz1VL0
Particle Tests,large,2019-05-02,particletests.jpeg,particletests,ParticleTests,1.5,ParticleTests02.jpg|ParticleTests01.jpg|$https://www.youtube.com/embed/CMpSs78YkjA|$https://www.youtube.com/embed/wWum7HFDbBc
High Res Textures,medium,2019-05-30,HighResTexuresIcon.jpg,highrestextures,HighResTextures,1.3,Rajotte_HighResTextures01.jpg|Rajotte_HighResTextures02.jpg|Rajotte_HighResTextures03.jpg|Rajotte_HighResTextures04.jpg|Rajotte_HighResTextures05.jpg
